MIL BUCKS, 0022200657, Jan 16, vs IND, 119 - 132, Fiserv Forum, Week 14
MIL BUCKS, 0022200665, Jan 17, vs TOR, 122 - 130, Fiserv Forum, Week 14
MIL BUCKS, 0022200695, Jan 21, @ CLE, 114 - 102, Rocket Mortgage FieldHouse, Week 14
MIL BUCKS, 0022200706, Jan 23, @ DET, 130 - 150, Little Caesars Arena, Week 15
MIL BUCKS, 0022200723, Jan 25, vs DEN, 99 - 107, Fiserv Forum, Week 15
MIL BUCKS, 0022200736, Jan 27, @ IND, 131 - 141, Gainbridge Fieldhouse, Week 15
MIL BUCKS, 0022200755, Jan 29, vs NOP, 110 - 135, Fiserv Forum, Week 15
MIL BUCKS, 0022200767, Jan 31, vs CHA, 115 - 124, Fiserv Forum, Week 16
MIL BUCKS, 0022200784, Feb 2, vs LAC, 105 - 106, Fiserv Forum, Week 16
MIL BUCKS, 0022200797, Feb 4, vs MIA, 115 - 123, Fiserv Forum, Week 16
MIL BUCKS, 0022200815, Feb 6, @ POR, 108 - 127, Moda Center, Week 17
MIL BUCKS, 0022200834, Feb 9, @ LAL, 106 - 115, Crypto.com Arena, Week 17
MIL BUCKS, 0022200845, Feb 10, @ LAC, 106 - 119, Crypto.com Arena, Week 17
MIL BUCKS, 0022200869, Feb 14, vs BOS, 125 - 131, Fiserv Forum, Week 18
MIL BUCKS, 0022200883, Feb 16, @ CHI, 100 - 112, United Center, Week 18
MIL BUCKS, 0022200897, Feb 24, vs MIA, 99 - 128, Fiserv Forum, Week 19
MIL BUCKS, 0022200910, Feb 26, vs PHX, 101 - 104, Fiserv Forum, Week 19
MIL BUCKS, 0022200924, Feb 28, @ BKN, 104 - 118, Barclays Center, Week 20
MIL BUCKS, 0022200939, Mar 1, vs ORL, 117 - 139, Fiserv Forum, Week 20
MIL BUCKS, 0022200960, Mar 4, vs PHI, 133 - 130, Fiserv Forum, Week 20
MIL BUCKS, 0022200973, Mar 5, @ WAS, 111 - 117, Capital One Arena, Week 20
MIL BUCKS, 0022200978, Mar 7, @ ORL, 123 - 134, Amway Center, Week 21
